# Wavenumber, Intensity, Intensity Filtered at 125.00 cm width 35.00 order 2
1.320057000000000016e+03,1.555401249999999891e+02,1.181933494379561722e+02
1.321020999999999958e+03,1.548512916999999902e+02,1.182271334643843375e+02
1.321986000000000104e+03,1.542171667000000070e+02,1.183767096069035176e+02
1.322950000000000045e+03,1.536192082999999968e+02,1.186203527039870949e+02
1.323913999999999987e+03,1.530266249999999957e+02,1.189266051764030152e+02
1.324878999999999905e+03,1.524140417000000127e+02,1.192688554882360279e+02
1.325843000000000075e+03,1.517738333000000068e+02,1.196344193369193079e+02
1.326807000000000016e+03,1.511169166999999902e+02,1.200296968121979404e+02
1.327770999999999958e+03,1.504630832999999939e+02,1.204684848996691500e+02
1.328736000000000104e+03,1.498242917000000034e+02,1.209587075910828275e+02
1.329700000000000045e+03,1.491974999999999909e+02,1.214918272316129020e+02
1.330663999999999987e+03,1.485659167000000025e+02,1.220498314443935755e+02
1.331627999999999929e+03,1.479114999999999895e+02,1.226131338127097621e+02
1.332593000000000075e+03,1.472289167000000134e+02,1.231746352513524556e+02
1.333557000000000016e+03,1.465328332999999930e+02,1.237426118339609218e+02
1.334520999999999958e+03,1.458524582999999950e+02,1.243413253824354143e+02
1.335484999999999900e+03,1.452168332999999905e+02,1.249938716035424022e+02
1.336449000000000069e+03,1.446382499999999993e+02,1.257078159551440990e+02
1.337413999999999987e+03,1.441037499999999909e+02,1.264684360917093215e+02
1.338377999999999929e+03,1.435796666999999900e+02,1.272391581002923999e+02
1.339342000000000098e+03,1.430295000000000130e+02,1.279845081450354485e+02
1.340307000000000016e+03,1.424344582999999886e+02,1.286852351004081072e+02
1.341270999999999958e+03,1.418040416999999991e+02,1.293448394938777710e+02
1.342234999999999900e+03,1.411696666999999934e+02,1.299897360271996547e+02
1.343199000000000069e+03,1.405648750000000007e+02,1.306479834683775323e+02
1.344163999999999987e+03,1.400068333000000109e+02,1.313336398489250882e+02
1.345127999999999929e+03,1.394877083000000084e+02,1.320352495022654580e+02
1.346092000000000098e+03,1.389814167000000111e+02,1.327278061161269136e+02
1.347056000000000040e+03,1.384597917000000109e+02,1.333837742411087390e+02
1.348020999999999958e+03,1.379097500000000025e+02,1.339901321640734579e+02
1.348984999999999900e+03,1.373418749999999875e+02,1.345528310506270770e+02
1.349949000000000069e+03,1.367848749999999995e+02,1.350969162637966292e+02
1.350913000000000011e+03,1.362690833000000055e+02,1.356482308281143503e+02
1.351877999999999929e+03,1.358082499999999868e+02,1.362184913588356210e+02
1.352842000000000098e+03,1.353922082999999930e+02,1.367953455213389589e+02
