1199.5260000,794.71
1200.4900000,794.6
1201.4550000,794.0754167
1202.4190000,791.7541667
1203.3830000,787.00125
1204.3470000,780.3304167
1205.3120000,773.1120833
1206.2760000,766.5791667
1207.2400000,761.11375
1208.2040000,756.00875
1209.1690000,749.79375
1210.1330000,741.0104167
1211.0970000,729.0395833
1212.0610000,714.4070833
1213.0260000,698.3483333
1213.9900000,682.0466667
1214.9540000,666.1029167
1215.9180000,650.4654167
1216.8830000,634.7179167
1217.8470000,618.48625
1218.8110000,601.72
1219.7750000,584.7220833
1220.7400000,567.94
1221.7040000,551.7104167
1222.6680000,536.1145833
1223.6320000,521.0054167
1224.5970000,506.1591667
1225.5610000,491.44875
1226.5250000,476.94125
1227.4890000,462.8666667
1228.4540000,449.4925
1229.4180000,436.9904167
1230.3820000,425.3666667
1231.3460000,414.47875
1232.3110000,404.1229583
1233.2750000,394.1340417
1234.2390000,384.4507917
1235.2030000,375.1189167
1236.1680000,366.226625
1237.1320000,357.8406667
1238.0960000,349.9590833
1239.0600000,342.514625
1240.0250000,335.4155833
1240.9890000,328.5979583
1241.9530000,322.0546667
1242.9170000,315.827
1243.8820000,309.965125
1244.8460000,304.4837083
1245.8100000,299.33875
1246.7740000,294.440375
1247.7390000,289.691125
1248.7030000,285.0308333
1249.6670000,280.4609167
1250.6310000,276.0359167
1251.5960000,271.82775
1252.5600000,267.884
1253.5240000,264.2026667
1254.4880000,260.7349583
1255.4530000,257.411125
1256.4170000,254.174625
1257.3810000,251.0042917
1258.3450000,247.9150833
1259.3100000,244.9370833
1260.2740000,242.0891667
1261.2380000,239.3619167
1262.2020000,236.721625
1263.1670000,234.1299583
1264.1310000,231.56625
1265.0950000,229.0375
1266.0590000,226.5735417
1267.0240000,224.1998333
1267.9880000,221.9260833
1268.9520000,219.7377917
1269.9160000,217.6060417
1270.8810000,215.5055
1271.8450000,213.4307917
1272.8090000,211.3988333
1273.7730000,209.437375
1274.7380000,207.5657083
1275.7020000,205.7807917
1276.6660000,204.056875
1277.6300000,202.36025
1278.5950000,200.669125
1279.5590000,198.9881667
1280.5230000,197.3467917
1281.4870000,195.78275
1282.4520000,194.31825
1283.4160000,192.945
1284.3800000,191.6249167
1285.3440000,190.308125
1286.3090000,188.9585
1287.2730000,187.572625
1288.2370000,186.1816667
1289.2010000,184.834375
1290.1660000,183.5709583
1291.1300000,182.4017083
1292.0940000,181.3032083
1293.0580000,180.2320417
1294.0230000,179.1480833
1294.9870000,178.0345
1295.9510000,176.9032917
1296.9150000,175.7855417
1297.8800000,174.7080833
1298.8440000,173.6799167
1299.8080000,172.6875417
1300.7720000,171.7055417
1301.7370000,170.7144167
1302.7010000,169.7142083
1303.6650000,168.72575
1304.6290000,167.77825
1305.5940000,166.8908333
1306.5580000,166.0600417
1307.5220000,165.2609583
1308.4860000,164.4610833
1309.4510000,163.6394583
1310.4150000,162.79925
1311.3790000,161.9664167
1312.3430000,161.174625
1313.3070000,160.445125
1314.2720000,159.7730833
1315.2360000,159.1285833
1316.2000000,158.4720417
1317.1650000,157.7749167
1318.1290000,157.0352083
1319.0930000,156.2777917
1320.0570000,155.540125
1321.0210000,154.8512917
1321.9860000,154.2171667
1322.9500000,153.6192083
1323.9140000,153.026625
1324.8790000,152.4140417
1325.8430000,151.7738333
1326.8070000,151.1169167
1327.7710000,150.4630833
1328.7360000,149.8242917
1329.7000000,149.1975
1330.6640000,148.5659167
1331.6280000,147.9115
1332.5930000,147.2289167
1333.5570000,146.5328333
1334.5210000,145.8524583
1335.4850000,145.2168333
1336.4490000,144.63825
1337.4140000,144.10375
1338.3780000,143.5796667
1339.3420000,143.0295
1340.3070000,142.4344583
1341.2710000,141.8040417
1342.2350000,141.1696667
1343.1990000,140.564875
1344.1640000,140.0068333
1345.1280000,139.4877083
1346.0920000,138.9814167
1347.0560000,138.4597917
1348.0210000,137.90975
1348.9850000,137.341875
1349.9490000,136.784875
1350.9130000,136.2690833
1351.8780000,135.80825
1352.8420000,135.3922083
1353.8060000,134.9930833
1354.7700000,134.5820833
1355.7340000,134.1469583
1356.6990000,133.6992083
1357.6630000,133.267
1358.6270000,132.8783333
1359.5920000,132.5431667
1360.5560000,132.2462083
1361.5200000,131.9539167
1362.4840000,131.6336667
1363.4480000,131.2745417
1364.4130000,130.8959167
1365.3770000,130.5362083
1366.3410000,130.2297917
1367.3060000,129.9870417
1368.2700000,129.78975
1369.2340000,129.6011667
1370.1980000,129.38575
1371.1620000,129.1285833
1372.1270000,128.8450833
1373.0910000,128.5745
1374.0550000,128.358125
1375.0200000,128.2150833
1375.9840000,128.1317917
1376.9480000,128.0700417
1377.9120000,127.989
1378.8760000,127.8672917
1379.8410000,127.7123333
1380.8050000,127.5524167
1381.7690000,127.417625
1382.7340000,127.320875
1383.6980000,127.249875
1384.6620000,127.17375
1385.6260000,127.0617083
1386.5900000,126.9043333
1387.5550000,126.7242083
1388.5190000,126.5659583
1389.4830000,126.4708333
1390.4480000,126.452
1391.4120000,126.4875
1392.3760000,126.530625
1393.3400000,126.5313333
1394.3040000,126.46025
1395.2690000,126.3247917
1396.2330000,126.167125
1397.1970000,126.0397917
1398.1610000,125.9732917
1399.1260000,125.959
1400.0900000,125.9571667
1401.0540000,125.9224583
1402.0180000,125.829
1402.9830000,125.6836667
1403.9470000,125.5204167
1404.9110000,125.3799167
1405.8750000,125.2843333
1406.8400000,125.2240833
1407.8040000,125.163875
1408.7680000,125.064375
1409.7320000,124.9062917
1410.6970000,124.702625
1411.6610000,124.49175
1412.6250000,124.31525
